Name,Slug,Collection ID,Item ID,Created On,Updated On,Published On
Design,design,5fc456e42c5b614771de701f,5fc456e42c5b61e350de70e8,Tue Aug 04 2020 10:45:46 GMT+0000 (Coordinated Universal Time),Tue Aug 04 2020 10:45:46 GMT+0000 (Coordinated Universal Time),Mon Nov 30 2020 02:21:38 GMT+0000 (Coordinated Universal Time)
Marketing,marketing,5fc456e42c5b614771de701f,5fc456e42c5b6168e7de70ee,Tue Aug 04 2020 10:45:52 GMT+0000 (Coordinated Universal Time),Tue Aug 04 2020 10:45:52 GMT+0000 (Coordinated Universal Time),Mon Nov 30 2020 02:21:38 GMT+0000 (Coordinated Universal Time)
Products,products,5fc456e42c5b614771de701f,5fc456e42c5b613635de70f0,Tue Aug 04 2020 10:46:14 GMT+0000 (Coordinated Universal Time),Tue Aug 04 2020 10:46:14 GMT+0000 (Coordinated Universal Time),Mon Nov 30 2020 02:21:38 GMT+0000 (Coordinated Universal Time)
Tutorials,tutorials,5fc456e42c5b614771de701f,5fc456e42c5b61097bde70ef,Tue Aug 04 2020 10:46:00 GMT+0000 (Coordinated Universal Time),Tue Aug 04 2020 10:46:00 GMT+0000 (Coordinated Universal Time),Mon Nov 30 2020 02:21:38 GMT+0000 (Coordinated Universal Time)
