Name,Slug,Collection ID,Item ID,Created On,Updated On,Published On
Branding,branding,5fc456e42c5b615157de7025,5fc456e42c5b61db66de70d0,Thu Jul 30 2020 09:26:17 GMT+0000 (Coordinated Universal Time),Thu Jul 30 2020 09:26:17 GMT+0000 (Coordinated Universal Time),Mon Nov 30 2020 02:21:38 GMT+0000 (Coordinated Universal Time)
Illustration,illustration,5fc456e42c5b615157de7025,5fc456e42c5b61d19ede70d1,Thu Jul 30 2020 09:27:48 GMT+0000 (Coordinated Universal Time),Thu Jul 30 2020 09:27:48 GMT+0000 (Coordinated Universal Time),Mon Nov 30 2020 02:21:38 GMT+0000 (Coordinated Universal Time)
Mobile,mobile,5fc456e42c5b615157de7025,5fc456e42c5b6106b6de70cf,Thu Jul 30 2020 09:26:11 GMT+0000 (Coordinated Universal Time),Thu Jul 30 2020 09:26:11 GMT+0000 (Coordinated Universal Time),Mon Nov 30 2020 02:21:38 GMT+0000 (Coordinated Universal Time)
Web,web,5fc456e42c5b615157de7025,5fc456e42c5b619dcade70ce,Thu Jul 30 2020 09:26:06 GMT+0000 (Coordinated Universal Time),Thu Jul 30 2020 09:26:06 GMT+0000 (Coordinated Universal Time),Mon Nov 30 2020 02:21:38 GMT+0000 (Coordinated Universal Time)
